protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,separation,train_seconds
stage2_control,ecf887f-dirty,dense,,60,600,2,2600,0,0.9224,1400,0.9264,206922,,68.4,0.8403,0.7587,0.0817,45.0
stage2_control,ecf887f-dirty,kwta_channel,0.2,60,600,2,1800,0,0.9376,600,0.9407,206922,0.4205,26.0,0.7247,0.553,0.1717,38.0
stage2_control,ecf887f-dirty,randk_channel,0.2,60,600,2,4000,1,0.8152,4000,0.8126,206922,,7.7,0.0866,0.0444,0.0423,108.8
stage2_control,ecf887f-dirty,dropout_matched,0.2,60,600,2,4000,1,0.9284,3900,0.9303,206922,,40.7,0.6466,0.1955,0.4512,71.0
stage2_control,ecf887f-dirty,dense,,60,600,3,2200,0,0.9264,1000,0.9312,206922,,69.7,0.8808,0.8166,0.0642,38.1
stage2_control,ecf887f-dirty,kwta_channel,0.2,60,600,3,4000,1,0.9434,3200,0.9483,206922,0.4489,26.0,0.6565,0.4546,0.2019,83.5
stage2_control,ecf887f-dirty,randk_channel,0.2,60,600,3,4000,1,0.8262,4000,0.8245,206922,,7.7,0.0847,0.0427,0.042,109.2
stage2_control,ecf887f-dirty,dropout_matched,0.2,60,600,3,4000,1,0.9284,3800,0.9373,206922,,43.5,0.6463,0.2191,0.4273,71.3
stage2_control,ecf887f-dirty,dense,,60,600,4,1600,0,0.9168,400,0.9232,206922,,70.9,0.8834,0.8227,0.0607,27.6
stage2_control,ecf887f-dirty,kwta_channel,0.2,60,600,4,3000,0,0.9332,1800,0.9356,206922,0.4545,26.0,0.6328,0.4403,0.1925,62.6
stage2_control,ecf887f-dirty,randk_channel,0.2,60,600,4,4000,1,0.783,3600,0.7831,206922,,6.2,0.0847,0.0393,0.0455,110.3
stage2_control,ecf887f-dirty,dropout_matched,0.2,60,600,4,4000,1,0.9368,3400,0.9364,206922,,40.5,0.6635,0.1887,0.4748,71.5
stage2_control,ecf887f-dirty,dense,,60,600,5,3900,0,0.9276,2700,0.9301,206922,,87.6,0.8902,0.8525,0.0377,67.5
stage2_control,ecf887f-dirty,kwta_channel,0.2,60,600,5,3700,0,0.9454,2500,0.9485,206922,0.3977,26.0,0.679,0.4733,0.2056,78.4
stage2_control,ecf887f-dirty,randk_channel,0.2,60,600,5,4000,1,0.8344,3800,0.8392,206922,,8.6,0.0838,0.042,0.0418,108.3
stage2_control,ecf887f-dirty,dropout_matched,0.2,60,600,5,4000,1,0.9338,2800,0.9347,206922,,42.1,0.6511,0.203,0.4481,70.8
stage2_control,ecf887f-dirty,dense,,60,600,6,1700,0,0.9052,500,0.9126,206922,,62.9,0.8671,0.8084,0.0586,29.4
stage2_control,ecf887f-dirty,kwta_channel,0.2,60,600,6,3300,0,0.9368,2100,0.9399,206922,0.4602,26.0,0.6938,0.5262,0.1676,71.2
stage2_control,ecf887f-dirty,randk_channel,0.2,60,600,6,4000,1,0.7868,3700,0.7751,206922,,6.6,0.078,0.0392,0.0388,110.3
stage2_control,ecf887f-dirty,dropout_matched,0.2,60,600,6,4000,1,0.9238,3700,0.9296,206922,,39.2,0.6451,0.1876,0.4575,71.9
stage2_control,ecf887f-dirty,dense,,60,600,7,1500,0,0.9206,300,0.9289,206922,,67.5,0.8623,0.7936,0.0687,26.2
stage2_control,ecf887f-dirty,kwta_channel,0.2,60,600,7,2600,0,0.9414,1400,0.9442,206922,0.4489,26.0,0.677,0.4952,0.1818,57.0
stage2_control,ecf887f-dirty,randk_channel,0.2,60,600,7,4000,1,0.808,3800,0.8029,206922,,6.8,0.086,0.0413,0.0447,110.5
stage2_control,ecf887f-dirty,dropout_matched,0.2,60,600,7,4000,1,0.9302,4000,0.9311,206922,,41.6,0.6463,0.1976,0.4487,71.5
