protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,separation,train_seconds
stage1b,9a90e99,kwta_ch_k0.4,0.4,30,300,2,1600,0,0.883,400,0.8884,206922,0.3523,51.0,0.8032,0.7096,0.0936,35.4
stage1b,9a90e99,dense,,30,300,3,2100,0,0.8914,900,0.9032,206922,,64.3,0.8989,0.8574,0.0414,36.7
stage1b,9a90e99,kwta_ch_k0.05,0.05,30,300,3,3300,0,0.886,2100,0.8937,206922,0.6136,6.0,0.497,0.2411,0.2559,71.5
stage1b,9a90e99,kwta_ch_k0.1,0.1,30,300,3,3400,0,0.903,2200,0.8996,206922,0.6307,13.0,0.5656,0.3338,0.2318,71.5
stage1b,9a90e99,kwta_ch_k0.2,0.2,30,300,3,2500,0,0.9192,1300,0.919,206922,0.4034,26.0,0.7204,0.5508,0.1696,53.1
stage1b,9a90e99,kwta_ch_k0.4,0.4,30,300,3,1700,0,0.8928,500,0.8909,206922,0.375,51.0,0.8528,0.7888,0.0641,37.0
stage1b,9a90e99,dense,,30,300,4,1400,0,0.8734,200,0.8862,206922,,70.7,0.9004,0.8548,0.0456,23.8
stage1b,9a90e99,kwta_ch_k0.05,0.05,30,300,4,4000,1,0.895,2800,0.9028,206922,0.7216,6.0,0.4826,0.2299,0.2527,78.5
stage1b,9a90e99,kwta_ch_k0.1,0.1,30,300,4,1900,0,0.9078,700,0.9068,206922,0.6136,13.0,0.5597,0.344,0.2157,37.6
stage1b,9a90e99,kwta_ch_k0.2,0.2,30,300,4,2600,0,0.9176,1400,0.9174,206922,0.3466,26.0,0.6363,0.4678,0.1685,52.1
stage1b,9a90e99,kwta_ch_k0.4,0.4,30,300,4,1700,0,0.8686,500,0.8766,206922,0.3466,51.0,0.7959,0.7017,0.0943,35.7
stage1b,9a90e99,dense,,60,600,0,2400,0,0.9236,1200,0.9299,206922,,86.0,0.8912,0.849,0.0421,40.7
stage1b,9a90e99,kwta_ch_k0.05,0.05,60,600,0,2500,0,0.9108,1300,0.9173,206922,0.6761,6.0,0.5535,0.3139,0.2396,49.0
stage1b,9a90e99,kwta_ch_k0.1,0.1,60,600,0,2900,0,0.9218,1700,0.9293,206922,0.6307,13.0,0.6099,0.4133,0.1966,60.8
stage1b,9a90e99,kwta_ch_k0.2,0.2,60,600,0,2200,0,0.9386,1000,0.941,206922,0.4489,26.0,0.7079,0.5582,0.1496,48.9
stage1b,9a90e99,kwta_ch_k0.4,0.4,60,600,0,1900,0,0.9238,700,0.9264,206922,0.358,51.0,0.8439,0.7723,0.0716,40.4
stage1b,9a90e99,dense,,60,600,1,3000,0,0.9298,1800,0.935,206922,,77.4,0.8944,0.8427,0.0517,51.5
stage1b,9a90e99,kwta_ch_k0.05,0.05,60,600,1,2800,0,0.9268,1600,0.9326,206922,0.6932,6.0,0.6018,0.3278,0.2739,54.3
stage1b,9a90e99,kwta_ch_k0.1,0.1,60,600,1,2200,0,0.9358,1000,0.9392,206922,0.642,13.0,0.5889,0.3227,0.2662,44.1
