protocol,git_commit,arm,dim,boost,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,dead_by_layer,active_units,overlap_same,overlap_diff,separation,train_seconds
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,300,3000,0,1800,0,0.948,600,0.9478,206922,0.4091,"{""conv1"": 0.0, ""conv2"": 0.062, ""fc"": 0.547}",26.0,0.5985,0.4004,0.1981,43.2
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,300,3000,0,2400,0,0.9668,1200,0.969,206922,0.4091,"{""conv1"": 0.062, ""conv2"": 0.156, ""fc"": 0.516}",26.0,0.661,0.4776,0.1834,50.7
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,300,3000,0,1600,0,0.9274,400,0.9367,206922,0.3977,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.539}",26.0,0.6233,0.425,0.1983,34.0
stage1,e2f99ea-dirty,dense,-,0.0,300,3000,1,2600,0,0.966,1400,0.9681,206922,,,70.1,0.8229,0.7215,0.1014,45.9
stage1,e2f99ea-dirty,kwta_global,global,0.0,300,3000,1,2700,0,0.9592,1500,0.9621,206922,0.4943,"{""conv1"": 0.0, ""conv2"": 0.125, ""fc"": 0.648}",25.9,0.6969,0.5474,0.1495,66.0
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,300,3000,1,2400,0,0.939,1200,0.9397,206922,0.4545,"{""conv1"": 0.0, ""conv2"": 0.125, ""fc"": 0.594}",25.9,0.6143,0.4455,0.1688,56.6
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,300,3000,1,2300,0,0.9692,1100,0.9681,206922,0.4716,"{""conv1"": 0.062, ""conv2"": 0.156, ""fc"": 0.602}",26.0,0.6941,0.519,0.175,48.3
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,300,3000,1,1500,0,0.8642,300,0.8753,206922,0.4545,"{""conv1"": 0.0, ""conv2"": 0.062, ""fc"": 0.609}",26.0,0.6606,0.4698,0.1908,32.2
stage1,e2f99ea-dirty,dense,-,0.0,300,3000,2,2000,0,0.9716,800,0.9683,206922,,,68.5,0.7935,0.6719,0.1216,34.6
stage1,e2f99ea-dirty,kwta_global,global,0.0,300,3000,2,4000,1,0.9674,3500,0.9685,206922,0.483,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.664}",25.7,0.722,0.5939,0.1281,93.5
