protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,eff_conv1,eff_conv2,eff_fc,overlap_same,overlap_diff,separation,train_seconds
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,1,3600,0,0.922,2400,0.9249,206922,,26.0,2.441,5.785,25.983,0.3761,0.1859,0.1902,111.1
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,1,4000,1,0.8328,3900,0.8316,206922,,7.6,1.197,2.414,7.698,0.0834,0.0417,0.0416,120.7
stage2b_randk_matched,437fd7c-dirty,dense,,60,600,2,2600,0,0.9224,1400,0.9264,206922,,68.4,6.542,18.608,68.24,0.8403,0.7587,0.0817,49.2
stage2b_randk_matched,437fd7c-dirty,kwta_channel,0.2,60,600,2,1800,0,0.9376,600,0.9407,206922,0.4205,26.0,3.0,6.0,26.0,0.7247,0.553,0.1717,42.6
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,2,4000,1,0.9198,3500,0.9238,206922,,25.7,3.0,5.56,25.734,0.4416,0.2314,0.2102,122.3
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,2,4000,1,0.8152,4000,0.8126,206922,,7.7,1.222,1.867,7.637,0.0866,0.0444,0.0423,116.5
stage2b_randk_matched,437fd7c-dirty,dense,,60,600,3,2200,0,0.9264,1000,0.9312,206922,,69.7,9.381,18.409,69.67,0.8808,0.8166,0.0642,40.4
stage2b_randk_matched,437fd7c-dirty,kwta_channel,0.2,60,600,3,4000,1,0.9434,3200,0.9483,206922,0.4489,26.0,3.0,6.0,26.0,0.6565,0.4546,0.2019,91.2
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,3,4000,1,0.9306,3300,0.9286,206922,,26.0,3.0,5.684,25.996,0.3815,0.2009,0.1807,118.9
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,3,4000,1,0.8262,4000,0.8245,206922,,7.7,1.753,2.178,7.7,0.0847,0.0427,0.042,114.6
stage2b_randk_matched,437fd7c-dirty,dense,,60,600,4,1600,0,0.9168,400,0.9232,206922,,70.9,4.591,19.252,70.769,0.8834,0.8227,0.0607,29.4
stage2b_randk_matched,437fd7c-dirty,kwta_channel,0.2,60,600,4,3000,0,0.9332,1800,0.9356,206922,0.4545,26.0,3.0,6.0,26.0,0.6328,0.4403,0.1925,66.7
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,4,3000,0,0.9032,1800,0.8954,206922,,25.7,1.803,5.54,25.731,0.4027,0.205,0.1977,88.7
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,4,4000,1,0.783,3600,0.7831,206922,,6.2,0.904,2.69,6.154,0.0847,0.0393,0.0455,115.8
stage2b_randk_matched,437fd7c-dirty,dense,,60,600,5,3900,0,0.9276,2700,0.9301,206922,,87.6,6.55,21.995,87.352,0.8902,0.8525,0.0377,70.9
stage2b_randk_matched,437fd7c-dirty,kwta_channel,0.2,60,600,5,3700,0,0.9454,2500,0.9485,206922,0.3977,26.0,3.0,6.0,26.0,0.679,0.4733,0.2056,86.2
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,5,4000,1,0.9276,4000,0.9284,206922,,26.0,3.0,5.079,25.996,0.3472,0.173,0.1742,118.3
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,5,4000,1,0.8344,3800,0.8392,206922,,8.6,1.303,2.366,8.667,0.0838,0.042,0.0418,114.9
stage2b_randk_matched,437fd7c-dirty,dense,,60,600,6,1700,0,0.9052,500,0.9126,206922,,62.9,6.909,17.096,62.864,0.8671,0.8084,0.0586,31.1
stage2b_randk_matched,437fd7c-dirty,kwta_channel,0.2,60,600,6,3300,0,0.9368,2100,0.9399,206922,0.4602,26.0,3.0,6.0,25.99,0.6938,0.5262,0.1676,75.3
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,6,4000,1,0.9,4000,0.9011,206922,,25.4,2.436,5.244,25.348,0.3914,0.1981,0.1932,120.1
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,6,4000,1,0.7868,3700,0.7751,206922,,6.6,1.074,2.446,6.652,0.078,0.0392,0.0388,115.9
stage2b_randk_matched,437fd7c-dirty,dense,,60,600,7,1500,0,0.9206,300,0.9289,206922,,67.5,6.371,19.05,67.374,0.8623,0.7936,0.0687,27.1
stage2b_randk_matched,437fd7c-dirty,kwta_channel,0.2,60,600,7,2600,0,0.9414,1400,0.9442,206922,0.4489,26.0,3.0,6.0,25.987,0.677,0.4952,0.1818,60.2
stage2b_randk_matched,437fd7c-dirty,randk_matched,0.2,60,600,7,4000,1,0.9314,4000,0.9319,206922,,25.8,3.0,5.536,25.811,0.407,0.1867,0.2203,119.4
stage2b_randk_matched,437fd7c-dirty,randk_nominal,0.2,60,600,7,4000,1,0.808,3800,0.8029,206922,,6.8,1.28,2.259,6.694,0.086,0.0413,0.0447,114.8
