protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,eff_conv1,eff_conv2,eff_fc,overlap_same,overlap_diff,separation,train_seconds
stage2b_randk_matched,73f1037-dirty,dense,,30,300,0,150,1,0.8974,150,0.9025,206922,,84.8,5.108,20.077,84.522,0.8808,0.8358,0.045,2.9
stage2b_randk_matched,73f1037-dirty,kwta_channel,0.2,30,300,0,150,1,0.8608,150,0.8657,206922,0.5284,26.0,3.0,6.0,26.0,0.7252,0.5748,0.1504,3.5
stage2b_randk_matched,73f1037-dirty,randk_matched,0.2,30,300,0,150,1,0.7942,150,0.8096,206922,,26.0,2.439,6.0,26.0,0.2616,0.1926,0.0691,5.0
stage2b_randk_matched,73f1037-dirty,randk_nominal,0.2,30,300,0,150,1,0.6086,150,0.6174,206922,,10.0,0.8,3.661,10.083,0.0834,0.0619,0.0215,4.9
